phase,train_loss,val_loss,tag_accuracy,sentiment_accuracy,fuzzy_score,tag_f1_macro,tag_f1_weighted,sentiment_f1_macro,tag_ece,sentiment_ece
1,4.922838198402783,4.888738709527093,0.013605442176870748,0.5374149659863946,0.013605442176870748,0.0003846153846153846,0.00041862899005756153,0.2330383480825959,0.008672184963412837,0.09596682932912089
2,2.8692272719409733,1.3377375421491828,0.8367346938775511,0.9455782312925171,0.8367346938775511,0.8015611471861472,0.8172468121447714,0.9300780417836401,0.27578714834589535,0.03147556870973028
3,3.154605388457392,2.017523952432581,0.7687074829931972,0.9727891156462585,0.7687074829931972,0.649168401043401,0.7262305721489395,0.9546296296296296,0.4409264191275551,0.02693405078381908
4,2.8076597274821484,2.1779655798061475,0.6530612244897959,0.9659863945578231,0.6530612244897959,0.4739520202020202,0.5719547270567679,0.9420289855072465,0.3417126178031876,0.02381821432892158
5,0.834812589165651,1.7825623689269698,0.7891156462585034,0.9319727891156463,0.7925170068027211,0.727718253968254,0.7584818054205809,0.8900853775853776,0.059949507518690465,0.0647389511672818
